"Code", "LotNo", "MinimumDose", "Date", "ItemSubGroup"
"200-0001-0-2024-05-07", "200-0001", "0", "2024-05-07", "CI MED"
"200-0002-0-2024-05-07", "200-0002", "0", "2024-05-07", "CI MED"
"200-0003-0-2024-05-07", "200-0003", "0", "2024-05-07", "CI MED"
"200-0004-0-2024-05-07", "200-0004", "0", "2024-05-07", "CI MED"
"200-0005-0-2024-05-07", "200-0005", "0", "2024-05-07", "CI MED"
"200-0006-0-2024-05-07", "200-0006", "0", "2024-05-07", "CI MED"
"200-0007-0-2024-05-07", "200-0007", "0", "2024-05-07", "CI MED"
"200-0008-0-2024-05-07", "200-0008", "0", "2024-05-07", "CI MED"
"200-0009-0-2024-05-07", "200-0009", "0", "2024-05-07", "CI MED"
"200-0010-0-2024-05-07", "200-0010", "0", "2024-05-07", "CI MED"
"200-0011-0-2024-05-07", "200-0011", "0", "2024-05-07", "CI MED"
"200-0012-0-2024-05-07", "200-0012", "0", "2024-05-07", "CI MED"
